"id","name","type","description","address","website","photos.0","category","directions","marker.lat","marker.lng","marker.icon","gmaps.min_zoom","gmaps.max_zoom","alternate_names.0","alternate_names.1","alternate_names.2","tags.0","tags.1","departments.0","departments.1","departments.2","departments.3","departments.4","departments.5","departments.6","departments.7","departments.8","departments.9","departments.10","departments.11","departments.12","departments.13","departments.14","departments.15","rooms.0","rooms.1","rooms.2","rooms.3","rooms.4","rooms.5","rooms.6","rooms.7","rooms.8","rooms.9"
"alexander_health_center","Alexander Health Center","place","The Alexander Health Center provides care and treatment of illnesses and minor emergencies for all full- and part-time students as well as TU employees. The goal of the health center is to provide individualized health care with professional expertise at a minimal cost. The health center also offers patients assistance in choosing and maintaining healthy lifestyles.","2946 East 5th Street, Tulsa, Oklahoma 74104-9700",,"http://images-cf.localist.com/assets/main/business_huge-c0846f6f497bda77b914557561c412e0.png","TU MAIN CAMPUS",,36.1534535085,-95.9462423092,"health",19,,,,,,,"Counseling and Psychological Services","Health Clinic",,,,,,,,,,,,,,,,,,,,,,,,
"alexandre_hogue_gallery","Alexandre Hogue Gallery","place","The Alexandre Hogue Gallery, housed in Phillips Hall and run by the School of Art, serves as the chief focal point for the university's engagement with the visual arts. Used year-round for the exhibition of arts, crafts, performance art and special events, the gallery also offers exhibits of historical, global and multicultural significance. It is also the site of the annual Gussman Student Art Exhibition and numerous shows by prominent artists and can be comfortably used for poetry readings and chamber music performances. The Hogue Gallery serves as a public venue for visiting artists and a campus showplace for School of Art faculty, students and alumni, and a forum for discussion of traditional and emerging artistic practices, innovative ideas and provocative notions.","2930 East 5th Street, Tulsa, Oklahoma 74104-9700",,"http://images-cf.localist.com/assets/main/business_huge-c0846f6f497bda77b914557561c412e0.png","TU MAIN CAMPUS",,36.1530401378,-95.946322038,"art-gallery",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"bayless_plaza","Bayless Plaza","place","Dedicated in September 2006, the 7,500-square-foot Bayless Plaza provides a permanent home for TU's historic Kendall Bell, which has been rung by students completing their last final exam for nearly 75 years. In addition to the centerpiece bell cupola encircled by cast-stone columns, the plaza features brick walkways, gardens and benches. The plaza is named in honor of Bernice Bayless (BS '49) and her late husband, Robert Bayless (BA '49), whose generous gift funded this TU icon.","800 South Tucker Drive, Tulsa, Oklahoma 74104-9700",,"http://images-cf.localist.com/photos/250620/huge/751bdb0232265904ca741d6a277b049b4f6e2cd2.jpg","TU MAIN CAMPUS",,36.1512625418,-95.9467662245,"star",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"boesche_legal_clinic","Boesche Legal Clinic","place","The Clinical Education Program at The University of Tulsa College of Law prepares students for the practice of law through a combination of real-world experience, intensive supervision and dynamic seminars. Clinic students also provide essential legal services to underserved individuals and communities. By engaging in public interest legal practice, clinic students have the opportunity to critically reflect on the justice system and their role in it, in the context of their development as lawyers.","407 South Florence Avenue, Tulsa, Oklahoma 74104-9700",,"http://images-cf.localist.com/photos/329698/huge/496c534fb4b738da02d2a9a0f9bbab9eb5346318.jpg","TU MAIN CAMPUS",,36.1548535502,-95.9444591399,"classroom",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"chapman_commons","Chapman Commons (“The U”)","place","TU's south entrance, facing 11th Street along historic Route 66, provides a dramatic welcome to TU's residential campus. Components of the entrance project include the 5-acre Chapman Commons, the Genave King Rogers Fountain and Tucker Drive, Chapman Commons provides a picturesque campus entrance and facilitates outdoor gatherings both small and large. On football game days, Chapman Commons is the primary site for TU tailgate parties.","800 South Tucker Drive, Tulsa, Oklahoma 74104-9700",,"http://images-cf.localist.com/photos/329707/huge/6960a413782690ed806757759404c509f3b9c66f.jpg","TU MAIN CAMPUS",,36.1489504852,-95.9467355804,"star",16,,"The U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"chapman_hall","Chapman Hall","place","Chapman Hall, originally built in 1971 to house the College of Nursing, was the most modern nursing training center in the nation at the time. Currently, Chapman Hall is the home of the Henry Kendall College of Arts and Sciences.","2830 East 5th Street, Tulsa, Oklahoma 74104-9700",,"http://images-cf.localist.com/assets/main/business_huge-c0846f6f497bda77b914557561c412e0.png","TU MAIN CAMPUS",,36.1530590056,-95.9479187546,"classroom",17,,,,,,,"Henry Kendall College of Arts and Sciences","Department of Economics","Department of Educational Studies","Department of History","Department of Philosophy & Religion","Department of Political Science","School of Urban Education","Department of Sociology","Dean’s Office and Advising",,,,,,,,"Writing Lab",,,,,,,,,
"chapman_theatre_201","Chapman Theatre","place","Chapman Theatre, a proscenium thrust stage that seats 375, is equipped with a computerized lighting board and sound system. Theatre II is an experimental stage space that can accommodate any audience spatial relationship (round, thrust, proscenium, environmental.)","601 South College Avenue, Tulsa, Oklahoma 74104-9700",,"http://images-cf.localist.com/assets/main/business_huge-c0846f6f497bda77b914557561c412e0.png","TU MAIN CAMPUS",,36.1517964151,-95.9455484673,"theatre",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"college_of_law","College of Law","place","This building houses the College of Law. Renovations were made in 2011 that improved the access, functionality and look of the building.","3120 East 4th Place, Tulsa, Oklahoma 74104-9700",,"http://images-cf.localist.com/assets/main/business_huge-c0846f6f497bda77b914557561c412e0.png","TU MAIN CAMPUS",,36.1543508518,-95.9437581055,"classroom",17,,,,,,,"Comparative & International Law Center","Computing Resources","Law Admission","Law Registrar","Native American Law Center","Price/Turpen Court Room","Professional Development","SERL",,,,,,,,,,,,,,,,,,
"collins_fitness_center","Collins Fitness Center","place","The Fulton and Susie Collins Fitness Center offers students a modern facility that fosters health and recreation. The fitness center houses three basketball courts, a workout area with 200+ pieces of equipment and a lounge with a big-screen television, furniture and its very own snack bar. A 3,200-square-foot multipurpose room, which can be divided into two rooms, has a soundproof wall and is used for aerobics, dance, kickboxing, ballet and yoga classes. Other features include a game room and a 1/8th-mile suspended indoor track. A sound system runs throughout the building.","502 South Delaware, Tulsa, Oklahoma 74104-9700",,"http://images-cf.localist.com/assets/main/business_huge-c0846f6f497bda77b914557561c412e0.png","TU MAIN CAMPUS",,36.1533809718,-95.9497352037,"athletics",16,,,,,,,"Campus Recreation","Cafe",,,,,,,,,,,,,,,,,,,,,,,,
"collins_hall","Collins Hall","place","The focal point of TU's new south entrance, Collins Hall provides a stunning gateway into the TU campus for visitors and alumni. The two-story, 39,000-square-foot building was dedicated in August 2007. Collins Hall consolidates key student services, such as financial aid and admission, into one central location. Collins Hall houses the TU Alumni Association offices with spaces for alumni activities, as well as areas where university memorabilia are displayed. Key university administrators, including the president, have offices in the building.","2905 East 8th Street, Tulsa, Oklahoma 74104-9700",,"http://images-cf.localist.com/assets/main/business_huge-c0846f6f497bda77b914557561c412e0.png","TU MAIN CAMPUS",,36.150051,-95.946785,"classroom",16,,"Shaw Alumni Center","Whitney Hall",,,,"Academic Affairs","Admission (Undergraduate)","Alumni Relations","Enrollment and Student Services","Executive Vice President’s Office","Law Alumni Association","President’s Office","Provost’s Office","Financial Aid",,,,,,,,,,,,,,,,,
